"Plot Title: ECO66G12-Water"
"Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10229557)","Water Temp, °C (LGR S/N: 10229557)","Abs Pres Barom., psi (LGR S/N: 10229571)","Sensor Depth, feet (LGR S/N: 10229557)","Air Temp, °C (LGR S/N: 10229571)"
01/28/16 11:25:04,14.2107,4.727,,,
01/28/16 11:37:28,,,14.2154,,2.943
01/28/16 11:55:04,14.5045,4.415,,0.674,
01/28/16 12:07:28,,,14.2101,,1.872
01/28/16 12:25:04,14.4933,4.519,,0.679,
01/28/16 12:37:28,,,14.1915,,1.764
01/28/16 12:55:04,14.4798,4.623,,0.674,
01/28/16 13:07:28,,,14.1851,,2.303
01/28/16 13:25:04,14.4801,4.727,,0.688,
01/28/16 13:37:28,,,14.1799,,3.049
01/28/16 13:55:04,14.4690,4.831,,0.674,
01/28/16 14:07:28,,,14.1747,,3.367
01/28/16 14:25:04,14.4649,5.037,,0.688,
01/28/16 14:37:28,,,14.1613,,4.311
01/28/16 14:55:04,14.4492,5.141,,0.679,
01/28/16 15:07:28,,,14.1506,,4.415
01/28/16 15:25:04,14.4381,5.244,,0.673,
01/28/16 15:37:28,,,14.1431,,4.727
01/28/16 15:55:04,14.4407,5.347,,0.689,
01/28/16 16:07:28,,,14.1413,,4.831
01/28/16 16:25:04,14.4272,5.450,,0.674,
01/28/16 16:37:28,,,14.1306,,4.934
01/28/16 16:55:04,14.4162,5.552,,0.659,
01/28/16 17:07:28,,,14.1302,,4.831
01/28/16 17:25:04,14.4233,5.655,,0.677,
01/28/16 17:37:28,,,14.1296,,4.727
01/28/16 17:55:04,14.4189,5.757,,0.672,
01/28/16 18:07:28,,,14.1262,,4.519
01/28/16 18:25:04,14.4189,5.757,,0.673,
01/28/16 18:37:28,,,14.1280,,4.415
01/28/16 18:55:04,14.4192,5.860,,0.667,
01/28/16 19:07:28,,,14.1315,,4.207
01/28/16 19:25:04,14.4241,5.962,,0.671,
01/28/16 19:37:28,,,14.1344,,3.893
01/28/16 19:55:04,14.4263,5.962,,0.670,
01/28/16 20:07:28,,,14.1368,,3.472
01/28/16 20:25:04,14.4263,5.962,,0.667,
01/28/16 20:37:28,,,14.1374,,3.155
01/28/16 20:55:04,14.4263,5.962,,0.669,
01/28/16 21:07:28,,,14.1354,,2.730
01/28/16 21:25:04,14.4284,5.860,,0.673,
01/28/16 21:37:28,,,14.1377,,2.303
01/28/16 21:55:04,14.4260,5.860,,0.663,
01/28/16 22:07:28,,,14.1396,,1.764
01/28/16 22:25:04,14.4349,5.757,,0.681,
01/28/16 22:37:28,,,14.1397,,1.330
