SampRep	tax	Count
3181_0	104_L	3
3181_0	121_L	1
3181_0	124_L	1
3181_0	126_L	1
3181_0	128_L	1
3181_0	150_L	79
3181_0	176_L	2
3181_0	1918_L	1
3181_0	2_L	5
3181_0	265_L	1
3181_0	30_A	2
3181_0	314_A	1
3181_0	337_A	1
3181_0	37_L	3
3181_0	411_L	6
3181_0	412_L	1
3181_0	418_A	1
3181_0	429_L	1
3181_0	473_L	2
3181_0	503_L	2
3181_0	536_L	3
3181_0	556_L	55
3181_0	563_L	1
3181_0	568_L	1
3181_0	590_L	1
3181_0	606_A	1
3181_0	672_L	33
3181_0	70_L	31
3181_0	804_A	1
3181_0	809_L	1
3181_0	84_L	6
3181_0	94_L	2
3187_0	104_L	3
3187_0	121_L	1
3187_0	124_L	18
3187_0	126_L	1
3187_0	150_L	4
3187_0	176_L	1
3187_0	1918_L	11
3187_0	1951_L	9
3187_0	2_L	1
3187_0	2005_L	4
3187_0	2099_A	1
3187_0	262_L	16
3187_0	271_L	8
3187_0	277_L	1
3187_0	317_L	2
3187_0	344_L	1
3187_0	348_L	3
3187_0	354_L	1
3187_0	365_L	1
3187_0	37_L	1
3187_0	404_L	2
3187_0	408_L	2
3187_0	411_L	2
3187_0	422_L	1
3187_0	473_L	1
3187_0	499_L	2
3187_0	503_L	6
3187_0	518_L	2
3187_0	534_L	1
3187_0	556_L	18
3187_0	559_L	1
3187_0	568_L	2
3187_0	595_L	29
3187_0	600_L	1
3187_0	640_L	2
3187_0	672_L	29
3187_0	74_L	1
3187_0	84_L	5
3187_0	851_L	22
3187_0	858_L	3
3187_0	859_L	1
3187_0	94_L	29
