"Plot Title: Charlies Creek Water"
"Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10246242)","Water Temp, °C (LGR S/N: 10246242)","Abs Pres Barom., psi (LGR S/N: 10246226)","Sensor Depth, feet (LGR S/N: 10246242)","Air Temp, °C (LGR S/N: 10246226)"
2017/07/26 17:00:00,13.8246,19.282,13.4969,0.757,28.258
2017/07/26 17:30:00,13.8214,18.426,13.4998,0.743,26.097
2017/07/26 18:00:00,13.8235,18.331,13.5030,0.741,25.125
2017/07/26 18:30:00,13.8211,18.331,13.5034,0.734,24.641
2017/07/26 19:00:00,13.8359,18.331,13.5142,0.743,24.351
2017/07/26 19:30:00,13.8588,18.521,13.5195,0.784,23.292
2017/07/26 20:00:00,13.8687,18.521,13.5152,0.817,22.812
2017/07/26 20:30:00,13.8563,18.521,13.5161,0.786,22.429
2017/07/26 21:00:00,13.8534,18.426,13.5193,0.772,22.046
2017/07/26 21:30:00,13.8457,18.331,13.5158,0.762,21.760
2017/07/26 22:00:00,13.8433,18.331,13.5146,0.759,21.473
2017/07/26 22:30:00,13.8479,18.236,13.5214,0.754,21.378
2017/07/26 23:00:00,13.8450,18.140,13.5235,0.743,21.282
2017/07/26 23:30:00,13.8475,18.140,13.5253,0.744,21.187
2017/07/27 00:00:00,13.8472,18.045,13.5251,0.744,21.091
2017/07/27 00:30:00,13.8472,18.045,13.5274,0.739,21.091
2017/07/27 01:00:00,13.8420,17.950,13.5203,0.743,21.091
2017/07/27 01:30:00,13.8395,17.950,13.5180,0.743,21.091
2017/07/27 02:00:00,13.8391,17.855,13.5155,0.748,21.091
2017/07/27 02:30:00,13.8341,17.855,13.5079,0.754,20.996
2017/07/27 03:00:00,13.8292,17.855,13.5079,0.742,20.996
2017/07/27 03:30:00,13.8240,17.760,13.5052,0.737,20.901
2017/07/27 04:00:00,13.8215,17.760,13.5021,0.738,20.710
2017/07/27 04:30:00,13.8240,17.760,13.5037,0.740,20.519
2017/07/27 05:00:00,13.8262,17.665,13.5033,0.746,20.424
2017/07/27 05:30:00,13.8311,17.665,13.5126,0.736,20.329
