"Plot Title: Temp_DEP18_20312702_ELLIS1m"
"Date Time, GMT-04:00","Water Temp, °C (LGR S/N: 20312702)"
18/05/24 15:01:00,16.463
18/05/24 16:01:00,16.654
18/05/24 17:01:00,16.630
18/05/24 18:01:00,16.654
18/05/24 19:01:00,16.630
18/05/24 20:01:00,16.582
18/05/24 21:01:00,16.582
18/05/24 22:01:00,16.439
18/05/24 23:01:00,16.439
18/05/25 00:01:00,16.249
18/05/25 01:01:00,16.392
18/05/25 02:01:00,16.249
18/05/25 03:01:00,16.058
18/05/25 04:01:00,15.986
18/05/25 05:01:00,15.915
18/05/25 06:01:00,15.867
18/05/25 07:01:00,15.772
18/05/25 08:01:00,15.796
18/05/25 09:01:00,15.915
18/05/25 10:01:00,16.034
18/05/25 11:01:00,16.225
18/05/25 12:01:00,16.487
18/05/25 13:01:00,16.677
18/05/25 14:01:00,16.915
18/05/25 15:01:00,16.939
18/05/25 16:01:00,17.153
18/05/25 17:01:00,17.391
18/05/25 18:01:00,17.391
18/05/25 19:01:00,17.272
18/05/25 20:01:00,17.296
18/05/25 21:01:00,17.177
18/05/25 22:01:00,17.296
18/05/25 23:01:00,17.415
18/05/26 00:01:00,17.296
18/05/26 01:01:00,17.153
18/05/26 02:01:00,17.225
18/05/26 03:01:00,17.201
18/05/26 04:01:00,17.153
18/05/26 05:01:00,17.130
18/05/26 06:01:00,17.058
18/05/26 07:01:00,17.130
18/05/26 08:01:00,17.034
18/05/26 09:01:00,17.106
18/05/26 10:01:00,17.106
18/05/26 11:01:00,17.177
18/05/26 12:01:00,17.272
18/05/26 13:01:00,17.368
18/05/26 14:01:00,17.463
18/05/26 15:01:00,17.796
18/05/26 16:01:00,17.891
18/05/26 17:01:00,17.843
18/05/26 18:01:00,17.772
18/05/26 19:01:00,17.867
18/05/26 20:01:00,17.915
18/05/26 21:01:00,17.819
18/05/26 22:01:00,17.748
18/05/26 23:01:00,17.653
18/05/27 00:01:00,17.582
18/05/27 01:01:00,17.486
18/05/27 02:01:00,17.344
18/05/27 03:01:00,17.296
18/05/27 04:01:00,17.153
18/05/27 05:01:00,17.058
