"","SiteID","Date","Time","Date.Time","Water.Temp.C","Water.LoggerID","Water.RowID","Flag.Date.Time","Flag.Water.Temp.C","Month","Day","Year","Flag.Gross.Water.Temp.C","Flag.Spike.Water.Temp.C","Flag.RoC.Water.Temp.C","Flag.Flat.Water.Temp.C","Comment.MOD.Date.Time","RAW.Date.Time","Comment.MOD.Water.Temp.C","RAW.Water.Temp.C","ID_Full","ID_Depth","ID_DepthUnits"
"1","Ellis","2018-05-24","15:01:00","2018-05-24 15:01:00",16.463,20312702,1,NA,"P",5,24,2018,"P","X","X","P",NA,"2018-05-24 15:01:00",NA,16.463,"Ellis~1.0m","1.0","m"
"2","Ellis","2018-05-24","16:01:00","2018-05-24 16:01:00",16.654,20312702,2,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 16:01:00",NA,16.654,"Ellis~1.0m","1.0","m"
"3","Ellis","2018-05-24","17:01:00","2018-05-24 17:01:00",16.63,20312702,3,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 17:01:00",NA,16.63,"Ellis~1.0m","1.0","m"
"4","Ellis","2018-05-24","18:01:00","2018-05-24 18:01:00",16.654,20312702,4,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 18:01:00",NA,16.654,"Ellis~1.0m","1.0","m"
"5","Ellis","2018-05-24","19:01:00","2018-05-24 19:01:00",16.63,20312702,5,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 19:01:00",NA,16.63,"Ellis~1.0m","1.0","m"
"6","Ellis","2018-05-24","20:01:00","2018-05-24 20:01:00",16.582,20312702,6,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 20:01:00",NA,16.582,"Ellis~1.0m","1.0","m"
"7","Ellis","2018-05-24","21:01:00","2018-05-24 21:01:00",16.582,20312702,7,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 21:01:00",NA,16.582,"Ellis~1.0m","1.0","m"
"8","Ellis","2018-05-24","22:01:00","2018-05-24 22:01:00",16.439,20312702,8,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 22:01:00",NA,16.439,"Ellis~1.0m","1.0","m"
"9","Ellis","2018-05-24","23:01:00","2018-05-24 23:01:00",16.439,20312702,9,NA,"P",5,24,2018,"P","P","P","P",NA,"2018-05-24 23:01:00",NA,16.439,"Ellis~1.0m","1.0","m"
"10","Ellis","2018-05-25","00:01:00","2018-05-25 00:01:00",16.249,20312702,10,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 00:01:00",NA,16.249,"Ellis~1.0m","1.0","m"
"11","Ellis","2018-05-25","01:01:00","2018-05-25 01:01:00",16.392,20312702,11,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 01:01:00",NA,16.392,"Ellis~1.0m","1.0","m"
"12","Ellis","2018-05-25","02:01:00","2018-05-25 02:01:00",16.249,20312702,12,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 02:01:00",NA,16.249,"Ellis~1.0m","1.0","m"
"13","Ellis","2018-05-25","03:01:00","2018-05-25 03:01:00",16.058,20312702,13,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 03:01:00",NA,16.058,"Ellis~1.0m","1.0","m"
"14","Ellis","2018-05-25","04:01:00","2018-05-25 04:01:00",15.986,20312702,14,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 04:01:00",NA,15.986,"Ellis~1.0m","1.0","m"
"15","Ellis","2018-05-25","05:01:00","2018-05-25 05:01:00",15.915,20312702,15,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 05:01:00",NA,15.915,"Ellis~1.0m","1.0","m"
"16","Ellis","2018-05-25","06:01:00","2018-05-25 06:01:00",15.867,20312702,16,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 06:01:00",NA,15.867,"Ellis~1.0m","1.0","m"
"17","Ellis","2018-05-25","07:01:00","2018-05-25 07:01:00",15.772,20312702,17,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 07:01:00",NA,15.772,"Ellis~1.0m","1.0","m"
"18","Ellis","2018-05-25","08:01:00","2018-05-25 08:01:00",15.796,20312702,18,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 08:01:00",NA,15.796,"Ellis~1.0m","1.0","m"
"19","Ellis","2018-05-25","09:01:00","2018-05-25 09:01:00",15.915,20312702,19,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 09:01:00",NA,15.915,"Ellis~1.0m","1.0","m"
"20","Ellis","2018-05-25","10:01:00","2018-05-25 10:01:00",16.034,20312702,20,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 10:01:00",NA,16.034,"Ellis~1.0m","1.0","m"
"21","Ellis","2018-05-25","11:01:00","2018-05-25 11:01:00",16.225,20312702,21,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 11:01:00",NA,16.225,"Ellis~1.0m","1.0","m"
"22","Ellis","2018-05-25","12:01:00","2018-05-25 12:01:00",16.487,20312702,22,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 12:01:00",NA,16.487,"Ellis~1.0m","1.0","m"
"23","Ellis","2018-05-25","13:01:00","2018-05-25 13:01:00",16.677,20312702,23,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 13:01:00",NA,16.677,"Ellis~1.0m","1.0","m"
"24","Ellis","2018-05-25","14:01:00","2018-05-25 14:01:00",16.915,20312702,24,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 14:01:00",NA,16.915,"Ellis~1.0m","1.0","m"
"25","Ellis","2018-05-25","15:01:00","2018-05-25 15:01:00",16.939,20312702,25,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 15:01:00",NA,16.939,"Ellis~1.0m","1.0","m"
"26","Ellis","2018-05-25","16:01:00","2018-05-25 16:01:00",17.153,20312702,26,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 16:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"27","Ellis","2018-05-25","17:01:00","2018-05-25 17:01:00",17.391,20312702,27,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 17:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"28","Ellis","2018-05-25","18:01:00","2018-05-25 18:01:00",17.391,20312702,28,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 18:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"29","Ellis","2018-05-25","19:01:00","2018-05-25 19:01:00",17.272,20312702,29,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 19:01:00",NA,17.272,"Ellis~1.0m","1.0","m"
"30","Ellis","2018-05-25","20:01:00","2018-05-25 20:01:00",17.296,20312702,30,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 20:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"31","Ellis","2018-05-25","21:01:00","2018-05-25 21:01:00",17.177,20312702,31,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 21:01:00",NA,17.177,"Ellis~1.0m","1.0","m"
"32","Ellis","2018-05-25","22:01:00","2018-05-25 22:01:00",17.296,20312702,32,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 22:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"33","Ellis","2018-05-25","23:01:00","2018-05-25 23:01:00",17.415,20312702,33,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 23:01:00",NA,17.415,"Ellis~1.0m","1.0","m"
"34","Ellis","2018-05-26","00:01:00","2018-05-26 00:01:00",17.296,20312702,34,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 00:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"35","Ellis","2018-05-26","01:01:00","2018-05-26 01:01:00",17.153,20312702,35,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 01:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"36","Ellis","2018-05-26","02:01:00","2018-05-26 02:01:00",17.225,20312702,36,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 02:01:00",NA,17.225,"Ellis~1.0m","1.0","m"
"37","Ellis","2018-05-26","03:01:00","2018-05-26 03:01:00",17.201,20312702,37,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 03:01:00",NA,17.201,"Ellis~1.0m","1.0","m"
"38","Ellis","2018-05-26","04:01:00","2018-05-26 04:01:00",17.153,20312702,38,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 04:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"39","Ellis","2018-05-26","05:01:00","2018-05-26 05:01:00",17.13,20312702,39,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 05:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"40","Ellis","2018-05-26","06:01:00","2018-05-26 06:01:00",17.058,20312702,40,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 06:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"41","Ellis","2018-05-26","07:01:00","2018-05-26 07:01:00",17.13,20312702,41,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 07:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"42","Ellis","2018-05-26","08:01:00","2018-05-26 08:01:00",17.034,20312702,42,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 08:01:00",NA,17.034,"Ellis~1.0m","1.0","m"
"43","Ellis","2018-05-26","09:01:00","2018-05-26 09:01:00",17.106,20312702,43,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 09:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
