SiteID,Date,Time,Date.Time,Water.Temp.C,Water.LoggerID,Water.RowID,Flag.Date.Time,Flag.Water.Temp.C,Month,Day,Year,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C
Ellis--3.0m,2018-05-24,15:01:00,2018-05-24 15:01,16.296,20172019,1,,P,5,24,2018,P,X,X,P,,2018-05-24 15:01,,16.296
Ellis--3.0m,2018-05-24,16:01:00,2018-05-24 16:01,15.748,20172019,2,,P,5,24,2018,P,P,P,P,,2018-05-24 16:01,,15.748
Ellis--3.0m,2018-05-24,17:01:00,2018-05-24 17:01,16.511,20172019,3,,P,5,24,2018,P,P,P,P,,2018-05-24 17:01,,16.511
Ellis--3.0m,2018-05-24,18:01:00,2018-05-24 18:01,16.368,20172019,4,,P,5,24,2018,P,P,P,P,,2018-05-24 18:01,,16.368
Ellis--3.0m,2018-05-24,19:01:00,2018-05-24 19:01,16.106,20172019,5,,P,5,24,2018,P,P,P,P,,2018-05-24 19:01,,16.106
Ellis--3.0m,2018-05-24,20:01:00,2018-05-24 20:01,15.652,20172019,6,,P,5,24,2018,P,P,P,P,,2018-05-24 20:01,,15.652
Ellis--3.0m,2018-05-24,21:01:00,2018-05-24 21:01,14.816,20172019,7,,P,5,24,2018,P,P,P,P,,2018-05-24 21:01,,14.816
Ellis--3.0m,2018-05-24,22:01:00,2018-05-24 22:01,15.055,20172019,8,,P,5,24,2018,P,P,P,P,,2018-05-24 22:01,,15.055
Ellis--3.0m,2018-05-24,23:01:00,2018-05-24 23:01,15.318,20172019,9,,P,5,24,2018,P,P,P,P,,2018-05-24 23:01,,15.318
Ellis--3.0m,2018-05-25,00:01:00,2018-05-25 00:01,15.39,20172019,10,,P,5,25,2018,P,P,P,P,,2018-05-25 00:01,,15.39
Ellis--3.0m,2018-05-25,01:01:00,2018-05-25 01:01,15.27,20172019,11,,P,5,25,2018,P,P,P,P,,2018-05-25 01:01,,15.27
Ellis--3.0m,2018-05-25,02:01:00,2018-05-25 02:01,15.127,20172019,12,,P,5,25,2018,P,P,P,P,,2018-05-25 02:01,,15.127
Ellis--3.0m,2018-05-25,03:01:00,2018-05-25 03:01,15.294,20172019,13,,P,5,25,2018,P,P,P,P,,2018-05-25 03:01,,15.294
Ellis--3.0m,2018-05-25,04:01:00,2018-05-25 04:01,15.867,20172019,14,,P,5,25,2018,P,P,P,P,,2018-05-25 04:01,,15.867
Ellis--3.0m,2018-05-25,05:01:00,2018-05-25 05:01,15.509,20172019,15,,P,5,25,2018,P,P,P,P,,2018-05-25 05:01,,15.509
Ellis--3.0m,2018-05-25,06:01:00,2018-05-25 06:01,15.461,20172019,16,,P,5,25,2018,P,P,P,P,,2018-05-25 06:01,,15.461
Ellis--3.0m,2018-05-25,07:01:00,2018-05-25 07:01,15.103,20172019,17,,P,5,25,2018,P,P,P,P,,2018-05-25 07:01,,15.103
Ellis--3.0m,2018-05-25,08:01:00,2018-05-25 08:01,14.792,20172019,18,,P,5,25,2018,P,P,P,P,,2018-05-25 08:01,,14.792
