SiteID,Date,Time,Date.Time,Water.Temp.C,Water.LoggerID,Water.RowID,Flag.Date.Time,Flag.Water.Temp.C,Month,Day,Year,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C
Ellis~1.0m,2018-05-24,15:01:00,2018-05-24 15:01:00,16.463,20312702,1,,P,5,24,2018,P,X,X,P,,2018-05-24 15:01:00,,16.463
Ellis~1.0m,2018-05-24,16:01:00,2018-05-24 16:01:00,16.654,20312702,2,,P,5,24,2018,P,P,P,P,,2018-05-24 16:01:00,,16.654
Ellis~1.0m,2018-05-24,17:01:00,2018-05-24 17:01:00,16.63,20312702,3,,P,5,24,2018,P,P,P,P,,2018-05-24 17:01:00,,16.63
Ellis~1.0m,2018-05-24,18:01:00,2018-05-24 18:01:00,16.654,20312702,4,,P,5,24,2018,P,P,P,P,,2018-05-24 18:01:00,,16.654
Ellis~1.0m,2018-05-24,19:01:00,2018-05-24 19:01:00,16.63,20312702,5,,P,5,24,2018,P,P,P,P,,2018-05-24 19:01:00,,16.63
Ellis~1.0m,2018-05-24,20:01:00,2018-05-24 20:01:00,16.582,20312702,6,,P,5,24,2018,P,P,P,P,,2018-05-24 20:01:00,,16.582
Ellis~1.0m,2018-05-24,21:01:00,2018-05-24 21:01:00,16.582,20312702,7,,P,5,24,2018,P,P,P,P,,2018-05-24 21:01:00,,16.582
Ellis~1.0m,2018-05-24,22:01:00,2018-05-24 22:01:00,16.439,20312702,8,,P,5,24,2018,P,P,P,P,,2018-05-24 22:01:00,,16.439
Ellis~1.0m,2018-05-24,23:01:00,2018-05-24 23:01:00,16.439,20312702,9,,P,5,24,2018,P,P,P,P,,2018-05-24 23:01:00,,16.439
Ellis~1.0m,2018-05-25,00:01:00,2018-05-25 00:01:00,16.249,20312702,10,,P,5,25,2018,P,P,P,P,,2018-05-25 00:01:00,,16.249
Ellis~1.0m,2018-05-25,01:01:00,2018-05-25 01:01:00,16.392,20312702,11,,P,5,25,2018,P,P,P,P,,2018-05-25 01:01:00,,16.392
Ellis~1.0m,2018-05-25,02:01:00,2018-05-25 02:01:00,16.249,20312702,12,,P,5,25,2018,P,P,P,P,,2018-05-25 02:01:00,,16.249
Ellis~1.0m,2018-05-25,03:01:00,2018-05-25 03:01:00,16.058,20312702,13,,P,5,25,2018,P,P,P,P,,2018-05-25 03:01:00,,16.058
Ellis~1.0m,2018-05-25,04:01:00,2018-05-25 04:01:00,15.986,20312702,14,,P,5,25,2018,P,P,P,P,,2018-05-25 04:01:00,,15.986
Ellis~1.0m,2018-05-25,05:01:00,2018-05-25 05:01:00,15.915,20312702,15,,P,5,25,2018,P,P,P,P,,2018-05-25 05:01:00,,15.915
Ellis~1.0m,2018-05-25,06:01:00,2018-05-25 06:01:00,15.867,20312702,16,,P,5,25,2018,P,P,P,P,,2018-05-25 06:01:00,,15.867
