SiteID,Date Time,DO_conc,temp_F,Depth
TestLake,2018-07-02 16:00,2.24,49.68,9
TestLake,2018-07-02 17:00,2.54,50.76,9
TestLake,2018-07-02 18:00,2.63,50.65,9
TestLake,2018-07-02 19:00,2.26,49.89,9
TestLake,2018-07-02 20:00,2.48,50.07,9
TestLake,2018-07-02 21:00,2.63,50.54,9
TestLake,2018-07-02 22:00,2.5,50.36,9
TestLake,2018-07-02 23:00,2.56,50.43,9
TestLake,2018-07-03 00:00,2.59,50.65,9
TestLake,2018-07-03 01:00,2.71,51.01,9
TestLake,2018-07-03 02:00,2.61,51.15,9
TestLake,2018-07-03 03:00,2.65,51.37,9
TestLake,2018-07-03 04:00,2.59,50.83,9
TestLake,2018-07-03 05:00,2.03,50.18,9
TestLake,2018-07-03 06:00,2.23,50.22,9
TestLake,2018-07-03 07:00,2.21,50.54,9
TestLake,2018-07-03 08:00,1.61,49.71,9
TestLake,2018-07-03 09:00,1.96,49.28,9
TestLake,2018-07-03 10:00,1.93,49.17,9
TestLake,2018-07-03 11:00,2.07,49.53,9
TestLake,2018-07-03 12:00,2.12,49.68,9
TestLake,2018-07-03 13:00,2.18,49.75,9
TestLake,2018-07-03 14:00,1.99,49.35,9
TestLake,2018-07-03 15:00,1.92,49.28,9
TestLake,2018-07-03 16:00,2.03,49.64,9
TestLake,2018-07-03 17:00,2.1,50.36,9
TestLake,2018-07-03 18:00,1.96,50,9
TestLake,2018-07-03 19:00,1.74,49.03,9
TestLake,2018-07-03 20:00,1.81,49.14,9
TestLake,2018-07-03 21:00,1.95,49.17,9
TestLake,2018-07-03 22:00,1.98,49.35,9
TestLake,2018-07-03 23:00,2.07,49.57,9
TestLake,2018-07-04 00:00,2.13,49.82,9
TestLake,2018-07-04 01:00,2.17,50.11,9
TestLake,2018-07-04 02:00,2.07,49.78,9
TestLake,2018-07-04 03:00,2.1,49.78,9
TestLake,2018-07-04 04:00,2.08,49.68,9
TestLake,2018-07-04 05:00,2.2,49.89,9
TestLake,2018-07-04 06:00,2.23,50.04,9
TestLake,2018-07-04 07:00,2.24,50.18,9
TestLake,2018-07-04 08:00,2.24,50.11,9
TestLake,2018-07-04 09:00,2.38,50.43,9
TestLake,2018-07-04 10:00,2.64,51.8,9
TestLake,2018-07-04 11:00,2.07,50.22,9
TestLake,2018-07-04 12:00,1.91,49.39,9
