7392-354869
OS REV: 1.11 Sensor Cal: 1511389810
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1576338420,+3.45, +6.066, +9.922,+1.006
1576340220,+3.44, +6.280, +9.607,+1.005
1576342020,+3.44, +6.193, +9.624,+1.004
1576343820,+3.44, +5.998, +9.575,+1.004
1576345620,+3.44, +6.105, +9.553,+1.004
1576347420,+3.44, +6.066, +9.538,+1.005
1576349220,+3.44, +6.494, +9.496,+1.005
1576351020,+3.44, +6.842, +9.475,+1.004
1576352820,+3.44, +7.053, +9.418,+1.004
1576354620,+3.44, +7.369, +9.343,+1.006
1576356420,+3.44, +8.108, +9.106,+1.005
1576358220,+3.44, +8.250, +9.077,+1.004
1576360020,+3.44, +7.502, +9.255,+1.003
1576361820,+3.44, +7.778, +9.125,+1.005
1576363620,+3.44, +8.052, +9.092,+1.004
1576365420,+3.44, +8.005, +9.147,+1.004
1576367220,+3.44, +8.005, +9.198,+1.005
1576369020,+3.44, +8.052, +9.201,+1.004
1576370820,+3.44, +8.127, +9.163,+1.003
1576372620,+3.43, +8.287, +9.068,+1.005
1576374420,+3.44, +8.428, +8.977,+1.004
1576376220,+3.44, +8.559, +8.891,+1.004
1576378020,+3.43, +8.325, +8.955,+1.004
1576379820,+3.43, +8.033, +9.026,+1.004
1576381620,+3.43, +7.749, +9.069,+1.004
1576383420,+3.43, +7.702, +8.963,+1.003
1576385220,+3.43, +7.749, +8.877,+1.005
1576387020,+3.43, +7.797, +8.816,+1.003
1576388820,+3.43, +7.521, +8.759,+1.005
1576390620,+3.43, +7.445, +8.693,+1.004
1576392420,+3.43, +7.245, +8.650,+1.004
1576394220,+3.43, +6.996, +8.781,+1.005
1576396020,+3.43, +6.977, +8.758,+1.004
1576397820,+3.43, +6.890, +8.721,+1.004
1576399620,+3.43, +6.717, +8.619,+1.004
1576401420,+3.43, +6.639, +8.598,+1.004
1576403220,+3.43, +6.639, +8.571,+1.004
1576405020,+3.43, +6.416, +8.546,+1.004
1576406820,+3.43, +6.339, +8.526,+1.005
1576408620,+3.43, +6.310, +8.555,+1.004
1576410420,+3.42, +6.280, +8.569,+1.005
1576412220,+3.42, +6.183, +8.521,+1.004
1576414020,+3.42, +6.134, +8.535,+1.005
1576415820,+3.42, +6.095, +8.521,+1.006
1576417620,+3.42, +6.164, +8.580,+1.005
1576419420,+3.42, +6.407, +8.652,+1.005
1576421220,+3.42, +6.630, +8.742,+1.005
1576423020,+3.42, +6.823, +8.764,+1.005
1576424820,+3.42, +6.919, +8.760,+1.004
