"SiteID","Date.Time","Air.Temp.C","Air.LoggerID","Air.RowID","Water.Temp.C","Water.LoggerID","Water.RowID","Air.BP.psi","Water.P.psi","Sensor.Depth.ft"
"ECO66G20","2014-10-13 09:30:00",18.901,"10229556","1",16.903,"10229567","1",14.0212,14.2191,0.457
"ECO66G20","2014-10-13 10:00:00",18.14,"10229556","2",16.999,"10229567","2",14.0195,14.2172,0.457
"ECO66G20","2014-10-13 10:30:00",18.14,"10229556","3",16.999,"10229567","3",14.0147,14.2124,0.457
"ECO66G20","2014-10-13 11:00:00",18.426,"10229556","4",16.999,"10229567","4",14.014,14.2101,0.453
"ECO66G20","2014-10-13 11:30:00",18.711,"10229556","5",17.094,"10229567","5",14.0131,14.2059,0.445
"ECO66G20","2014-10-13 12:00:00",18.996,"10229556","6",17.189,"10229567","6",14.0099,14.2038,0.448
"ECO66G20","2014-10-13 12:30:00",19.092,"10229556","7",17.189,"10229567","7",14.0059,14.2015,0.452
"ECO66G20","2014-10-13 13:00:00",19.187,"10229556","8",17.284,"10229567","8",13.9992,14.1996,0.463
"ECO66G20","2014-10-13 13:30:00",19.282,"10229556","9",17.379,"10229567","9",13.9927,14.1835,0.441
"ECO66G20","2014-10-13 14:00:00",19.377,"10229556","10",17.379,"10229567","10",13.979,14.1742,0.451
"ECO66G20","2014-10-13 14:30:00",19.187,"10229556","11",17.475,"10229567","11",13.9828,14.1747,0.443
"ECO66G20","2014-10-13 15:00:00",19.377,"10229556","12",17.475,"10229567","12",13.9744,14.1676,0.446
"ECO66G20","2014-10-13 15:30:00",19.282,"10229556","13",17.475,"10229567","13",13.9668,14.1629,0.453
"ECO66G20","2014-10-13 16:00:00",19.187,"10229556","14",17.475,"10229567","14",13.9592,14.1535,0.449
"ECO66G20","2014-10-13 16:30:00",18.996,"10229556","15",17.475,"10229567","15",13.9535,14.1489,0.451
"ECO66G20","2014-10-13 17:00:00",18.901,"10229556","16",17.475,"10229567","16",13.9529,14.1465,0.447
"ECO66G20","2014-10-13 17:30:00",18.711,"10229556","17",17.475,"10229567","17",13.9542,14.1489,0.45
"ECO66G20","2014-10-13 18:00:00",18.616,"10229556","18",17.475,"10229567","18",13.9584,14.1535,0.451
"ECO66G20","2014-10-13 18:30:00",18.521,"10229556","19",17.475,"10229567","19",13.9626,14.1558,0.446
"ECO66G20","2014-10-13 19:00:00",18.426,"10229556","20",17.475,"10229567","20",13.9574,14.1535,0.453
"ECO66G20","2014-10-13 19:30:00",18.426,"10229556","21",17.379,"10229567","21",13.9574,14.1508,0.447
"ECO66G20","2014-10-13 20:00:00",18.331,"10229556","22",17.379,"10229567","22",13.9522,14.1438,0.443
"ECO66G20","2014-10-13 20:30:00",18.236,"10229556","23",17.379,"10229567","23",13.9447,14.1367,0.444
"ECO66G20","2014-10-13 21:00:00",18.236,"10229556","24",17.379,"10229567","24",13.9423,14.1367,0.449
"ECO66G20","2014-10-13 21:30:00",18.14,"10229556","25",17.379,"10229567","25",13.9418,14.1344,0.445
"ECO66G20","2014-10-13 22:00:00",18.236,"10229556","26",17.379,"10229567","26",13.9423,14.1344,0.444
"ECO66G20","2014-10-13 22:30:00",18.331,"10229556","27",17.379,"10229567","27",13.9381,14.1297,0.443
"ECO66G20","2014-10-13 23:00:00",18.426,"10229556","28",17.379,"10229567","28",13.9268,14.1203,0.447
"ECO66G20","2014-10-13 23:30:00",18.426,"10229556","29",17.379,"10229567","29",13.9268,14.1203,0.447
"ECO66G20","2014-10-14 00:00:00",18.521,"10229556","30",17.379,"10229567","30",13.9274,14.118,0.44
"ECO66G20","2014-10-14 00:30:00",18.521,"10229556","31",17.475,"10229567","31",13.9226,14.1161,0.447
"ECO66G20","2014-10-14 01:00:00",18.426,"10229556","32",17.379,"10229567","32",13.9127,14.1087,0.453
"ECO66G20","2014-10-14 01:30:00",18.331,"10229556","33",17.379,"10229567","33",13.9122,14.1087,0.454
"ECO66G20","2014-10-14 02:00:00",18.426,"10229556","34",17.379,"10229567","34",13.9056,14.1016,0.453
"ECO66G20","2014-10-14 02:30:00",18.426,"10229556","35",17.379,"10229567","35",13.9009,14.1016,0.464
"ECO66G20","2014-10-14 03:00:00",18.616,"10229556","36",17.475,"10229567","36",13.9067,14.123,0.5
"ECO66G20","2014-10-14 03:30:00",18.616,"10229556","37",17.475,"10229567","37",13.8972,14.1325,0.543
"ECO66G20","2014-10-14 04:00:00",18.616,"10229556","38",17.475,"10229567","38",13.8949,14.1512,0.592
"ECO66G20","2014-10-14 04:30:00",18.711,"10229556","39",17.475,"10229567","39",13.8884,14.2167,0.759
"ECO66G20","2014-10-14 05:00:00",18.711,"10229556","40",17.475,"10229567","40",13.8907,14.2777,0.894
"ECO66G20","2014-10-14 05:30:00",18.711,"10229556","41",17.379,"10229567","41",13.8884,14.35,1.067
"ECO66G20","2014-10-14 06:00:00",18.616,"10229556","42",17.379,"10229567","42",13.8855,14.4227,1.241
"ECO66G20","2014-10-14 06:30:00",18.426,"10229556","43",17.379,"10229567","43",13.875,14.4532,1.336
"ECO66G20","2014-10-14 07:00:00",18.14,"10229556","44",17.284,"10229567","44",13.8688,14.4762,1.403
"ECO66G20","2014-10-14 07:30:00",17.76,"10229556","45",17.189,"10229567","45",13.8643,14.4827,1.429
"ECO66G20","2014-10-14 08:00:00",17.57,"10229556","46",17.094,"10229567","46",13.8704,14.5129,1.484
"ECO66G20","2014-10-14 08:30:00",17.475,"10229556","47",16.999,"10229567","47",13.8769,14.536,1.522
"ECO66G20","2014-10-14 09:00:00",17.379,"10229556","48",16.903,"10229567","48",13.8717,14.5496,1.566
"ECO66G20","2014-10-14 09:30:00",17.475,"10229556","49",16.903,"10229567","49",13.8629,14.5542,1.597
"ECO66G20","2014-10-14 10:00:00",17.665,"10229556","50",16.808,"10229567","50",13.8568,14.5515,1.605
"ECO66G20","2014-10-14 10:30:00",17.76,"10229556","51",16.808,"10229567","51",13.8549,14.5796,1.674
"ECO66G20","2014-10-14 11:00:00",17.855,"10229556","52",16.713,"10229567","52",13.8483,14.5769,1.683
"ECO66G20","2014-10-14 11:30:00",18.14,"10229556","53",16.713,"10229567","53",13.8476,14.5933,1.722
"ECO66G20","2014-10-14 12:00:00",18.426,"10229556","54",16.808,"10229567","54",13.8421,14.5843,1.714
"ECO66G20","2014-10-14 12:30:00",18.426,"10229556","55",16.808,"10229567","55",13.8468,14.6172,1.78
"ECO66G20","2014-10-14 13:00:00",18.521,"10229556","56",16.808,"10229567","56",13.8402,14.6289,1.822
"ECO66G20","2014-10-14 13:30:00",18.045,"10229556","57",16.713,"10229567","57",13.8424,14.6472,1.859
"ECO66G20","2014-10-14 14:00:00",17.475,"10229556","58",16.713,"10229567","58",13.8417,14.6543,1.877
"ECO66G20","2014-10-14 14:30:00",17.189,"10229556","59",16.713,"10229567","59",13.8424,14.6613,1.892
"ECO66G20","2014-10-14 15:00:00",16.808,"10229556","60",16.618,"10229567","60",13.8521,14.6726,1.895
"ECO66G20","2014-10-14 15:30:00",16.903,"10229556","61",16.523,"10229567","61",13.8527,14.6675,1.882
"ECO66G20","2014-10-14 16:00:00",16.427,"10229556","62",16.523,"10229567","62",13.8524,14.6862,1.926
