Date.Time,Battery,Water.Temp.C,DO.mg.L,Q,SiteID
2019-12-04 21:54,3.44,17.667,8.741,1.005,7392-354869
2019-12-04 22:24,3.44,17.878,8.706,1.006,7392-354869
2019-12-04 22:54,3.44,18.156,8.617,1.005,7392-354869
2019-12-04 23:24,3.44,18.442,8.575,1.006,7392-354869
2019-12-04 23:54,3.45,18.644,8.556,1.006,7392-354869
2019-12-05 00:24,3.45,18.854,8.539,1.007,7392-354869
2019-12-05 00:54,3.45,19.047,8.515,1.006,7392-354869
2019-12-05 01:24,3.45,19.223,8.468,1.006,7392-354869
2019-12-05 01:54,3.45,19.391,8.442,1.005,7392-354869
2019-12-05 02:24,3.45,19.499,8.46,1.007,7392-354869
2019-12-05 02:54,3.45,19.617,8.415,1.005,7392-354869
2019-12-05 03:24,3.45,19.726,8.415,1.006,7392-354869
2019-12-05 03:54,3.45,19.843,8.423,1.006,7392-354869
2019-12-05 04:24,3.45,19.968,8.412,1.006,7392-354869
2019-12-05 04:54,3.46,20.035,8.377,1.005,7392-354869
2019-12-05 05:24,3.46,20.144,8.392,1.007,7392-354869
2019-12-05 05:54,3.46,20.228,8.382,1.007,7392-354869
2019-12-05 06:24,3.46,20.278,8.392,1.008,7392-354869
2019-12-05 06:54,3.46,20.345,8.367,1.006,7392-354869
2019-12-05 07:24,3.46,20.428,8.341,1.005,7392-354869
2019-12-05 07:54,3.46,20.47,8.346,1.007,7392-354869
2019-12-05 08:24,3.46,20.495,8.337,1.007,7392-354869
2019-12-05 08:54,3.46,20.537,8.316,1.006,7392-354869
2019-12-05 09:24,3.46,20.604,8.308,1.007,7392-354869
2019-12-05 09:54,3.46,20.629,8.299,1.006,7392-354869
2019-12-05 10:24,3.46,20.671,8.298,1.006,7392-354869
2019-12-05 10:54,3.47,20.679,8.289,1.006,7392-354869
2019-12-05 11:24,3.47,20.687,8.294,1.007,7392-354869
2019-12-05 11:54,3.46,20.763,8.295,1.008,7392-354869
2019-12-05 12:24,3.47,20.771,8.277,1.006,7392-354869
2019-12-05 12:54,3.47,20.804,8.275,1.006,7392-354869
2019-12-05 13:24,3.47,20.796,8.282,1.006,7392-354869
2019-12-05 13:54,3.47,20.829,8.261,1.006,7392-354869
2019-12-05 14:24,3.47,20.829,8.256,1.006,7392-354869
2019-12-05 14:54,3.47,20.804,8.275,1.006,7392-354869
2019-12-05 15:24,3.47,20.386,8.489,1.005,7392-354869
2019-12-13 15:17,3.49,14.287,9.654,1.004,7392-354869
2019-12-13 15:47,3.49,11.875,10.149,1.004,7392-354869
2019-12-13 16:17,3.49,7.474,9.274,0.997,7392-354869
2019-12-13 16:47,3.48,4.024,9.592,1.004,7392-354869
2019-12-13 17:17,3.48,4.055,9.67,1.005,7392-354869
2019-12-13 17:47,3.48,4.146,9.701,1.006,7392-354869
2019-12-13 18:17,3.48,4.186,9.706,1.004,7392-354869
2019-12-13 18:47,3.48,4.267,9.735,1.004,7392-354869
2019-12-13 19:17,3.48,4.378,9.783,1.005,7392-354869
2019-12-13 19:47,3.48,4.298,9.759,1.006,7392-354869
2019-12-13 20:17,3.48,4.277,9.755,1.005,7392-354869
2019-12-13 20:47,3.47,4.257,9.796,1.005,7392-354869
2019-12-13 21:17,3.47,4.378,9.758,1.004,7392-354869
2019-12-13 21:47,3.47,4.378,9.775,1.005,7392-354869
2019-12-13 22:17,3.47,4.298,9.776,1.005,7392-354869
2019-12-13 22:47,3.47,4.328,9.794,1.006,7392-354869
2019-12-13 23:17,3.47,4.409,9.787,1.005,7392-354869
2019-12-13 23:47,3.47,4.429,9.819,1.005,7392-354869
2019-12-14 00:17,3.47,4.52,9.888,1.005,7392-354869
2019-12-14 00:47,3.47,4.55,9.858,1.004,7392-354869
2019-12-14 01:17,3.47,4.58,9.837,1.005,7392-354869
2019-12-14 01:47,3.47,4.6,9.859,1.005,7392-354869
2019-12-14 02:17,3.47,4.76,9.91,1.005,7392-354869
2019-12-14 02:47,3.46,4.791,9.909,1.006,7392-354869
2019-12-14 03:17,3.46,4.851,9.9,1.005,7392-354869
2019-12-14 03:47,3.46,4.861,9.943,1.005,7392-354869
2019-12-14 04:17,3.46,4.93,9.928,1.004,7392-354869
2019-12-14 04:47,3.46,4.95,9.937,1.004,7392-354869
2019-12-14 05:17,3.46,5.09,9.904,1.005,7392-354869
2019-12-14 05:47,3.46,5.486,9.781,1.005,7392-354869
2019-12-14 06:17,3.46,5.762,9.675,1.005,7392-354869
2019-12-14 06:47,3.46,5.9,9.582,1.005,7392-354869
2019-12-14 07:17,3.46,5.939,9.477,1.005,7392-354869
2019-12-14 07:47,3.46,5.89,9.44,1.004,7392-354869
2019-12-14 08:17,3.46,5.831,9.501,1.006,7392-354869
2019-12-14 08:47,3.46,5.743,9.553,1.004,7392-354869
2019-12-14 09:17,3.46,5.644,9.701,1.003,7392-354869
2019-12-14 09:47,3.46,5.467,10.003,1.004,7392-354869
2019-12-14 10:17,3.45,5.279,10.216,1.004,7392-354869
2019-12-14 10:47,3.45,5.179,10.191,1.005,7392-354869
2019-12-14 11:17,3.45,5.11,9.985,1.004,7392-354869
2019-12-14 11:47,3.45,5.07,9.969,1.004,7392-354869
2019-12-14 12:17,3.45,5.11,9.977,1.004,7392-354869
2019-12-14 12:47,3.45,5.199,9.928,1.005,7392-354869
2019-12-14 13:17,3.45,5.328,9.897,1.005,7392-354869
2019-12-14 13:47,3.45,5.417,9.894,1.005,7392-354869
2019-12-14 14:17,3.45,5.486,9.878,1.006,7392-354869
2019-12-14 14:47,3.45,5.644,9.839,1.005,7392-354869
2019-12-14 15:17,3.45,5.939,9.768,1.004,7392-354869
2019-12-14 15:47,3.45,6.066,9.922,1.006,7392-354869
2019-12-14 16:17,3.44,6.28,9.607,1.005,7392-354869
2019-12-14 16:47,3.44,6.193,9.624,1.004,7392-354869
2019-12-14 17:17,3.44,5.998,9.575,1.004,7392-354869
2019-12-14 17:47,3.44,6.105,9.553,1.004,7392-354869
2019-12-14 18:17,3.44,6.066,9.538,1.005,7392-354869
2019-12-14 18:47,3.44,6.494,9.496,1.005,7392-354869
2019-12-14 19:17,3.44,6.842,9.475,1.004,7392-354869
2019-12-14 19:47,3.44,7.053,9.418,1.004,7392-354869
2019-12-14 20:17,3.44,7.369,9.343,1.006,7392-354869
2019-12-14 20:47,3.44,8.108,9.106,1.005,7392-354869
2019-12-14 21:17,3.44,8.25,9.077,1.004,7392-354869
2019-12-14 21:47,3.44,7.502,9.255,1.003,7392-354869
2019-12-14 22:17,3.44,7.778,9.125,1.005,7392-354869
2019-12-14 22:47,3.44,8.052,9.092,1.004,7392-354869
2019-12-14 23:17,3.44,8.005,9.147,1.004,7392-354869
2019-12-14 23:47,3.44,8.005,9.198,1.005,7392-354869
2019-12-15 00:17,3.44,8.052,9.201,1.004,7392-354869
2019-12-15 00:47,3.44,8.127,9.163,1.003,7392-354869
2019-12-15 01:17,3.43,8.287,9.068,1.005,7392-354869
2019-12-15 01:47,3.44,8.428,8.977,1.004,7392-354869
2019-12-15 02:17,3.44,8.559,8.891,1.004,7392-354869
2019-12-15 02:47,3.43,8.325,8.955,1.004,7392-354869
2019-12-15 03:17,3.43,8.033,9.026,1.004,7392-354869
2019-12-15 03:47,3.43,7.749,9.069,1.004,7392-354869
2019-12-15 04:17,3.43,7.702,8.963,1.003,7392-354869
2019-12-15 04:47,3.43,7.749,8.877,1.005,7392-354869
2019-12-15 05:17,3.43,7.797,8.816,1.003,7392-354869
2019-12-15 05:47,3.43,7.521,8.759,1.005,7392-354869
2019-12-15 06:17,3.43,7.445,8.693,1.004,7392-354869
2019-12-15 06:47,3.43,7.245,8.65,1.004,7392-354869
2019-12-15 07:17,3.43,6.996,8.781,1.005,7392-354869
2019-12-15 07:47,3.43,6.977,8.758,1.004,7392-354869
2019-12-15 08:17,3.43,6.89,8.721,1.004,7392-354869
2019-12-15 08:47,3.43,6.717,8.619,1.004,7392-354869
2019-12-15 09:17,3.43,6.639,8.598,1.004,7392-354869
2019-12-15 09:47,3.43,6.639,8.571,1.004,7392-354869
2019-12-15 10:17,3.43,6.416,8.546,1.004,7392-354869
2019-12-15 10:47,3.43,6.339,8.526,1.005,7392-354869
2019-12-15 11:17,3.43,6.31,8.555,1.004,7392-354869
2019-12-15 11:47,3.42,6.28,8.569,1.005,7392-354869
2019-12-15 12:17,3.42,6.183,8.521,1.004,7392-354869
2019-12-15 12:47,3.42,6.134,8.535,1.005,7392-354869
2019-12-15 13:17,3.42,6.095,8.521,1.006,7392-354869
2019-12-15 13:47,3.42,6.164,8.58,1.005,7392-354869
2019-12-15 14:17,3.42,6.407,8.652,1.005,7392-354869
2019-12-15 14:47,3.42,6.63,8.742,1.005,7392-354869
2019-12-15 15:17,3.42,6.823,8.764,1.005,7392-354869
2019-12-15 15:47,3.42,6.919,8.76,1.004,7392-354869
2019-12-15 16:17,3.42,6.986,8.689,1.005,7392-354869
2019-12-15 16:47,3.42,6.928,8.571,1.005,7392-354869
2019-12-15 17:17,3.42,6.967,8.527,1.004,7392-354869
2019-12-15 17:47,3.42,6.9,8.573,1.005,7392-354869
2019-12-15 18:17,3.42,6.823,8.677,1.005,7392-354869
2019-12-15 18:47,3.42,7.082,8.762,1.006,7392-354869
2019-12-15 19:17,3.42,7.274,8.845,1.006,7392-354869
2019-12-15 19:47,3.42,7.379,9.009,1.005,7392-354869
2019-12-15 20:17,3.42,7.369,9.155,1.006,7392-354869
2019-12-15 20:47,3.42,7.379,9.15,1.005,7392-354869
2019-12-15 21:17,3.42,7.455,9.18,1.005,7392-354869
2019-12-15 21:47,3.42,7.474,9.192,1.005,7392-354869
2019-12-15 22:17,3.42,7.254,9.224,1.005,7392-354869
2019-12-15 22:47,3.42,7.274,9.206,1.005,7392-354869
2019-12-15 23:17,3.42,7.197,9.213,1.005,7392-354869
2019-12-15 23:47,3.42,7.053,9.199,1.006,7392-354869
2019-12-16 00:17,3.42,7.092,9.174,1.006,7392-354869
2019-12-16 00:47,3.42,6.765,9.148,1.005,7392-354869
2019-12-16 01:17,3.42,6.62,9.105,1.005,7392-354869
