SiteID,Date,Time,Date.Time,Water.Temp.C,Air.LoggerID,Air.RowID,Air.Temp.C,Water.P.psi,Air.BP.psi,Sensor.Depth.ft,DO.mg.L,DO.adj.mg.L,DO.pctsat.percent,Water.LoggerID,Water.RowID,Logger.Deployment,Flag.Date.Time,Flag.Water.Temp.C,Flag.Air.Temp.C,Flag.Air.BP.psi,Flag.Water.P.psi,Flag.Sensor.Depth.ft,Flag.DO.mg.L,Flag.DO.adj.mg.L,Flag.DO.pctsat.percent,Month,Day,Year,MonthDay,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Flag.Gross.Air.Temp.C,Flag.Spike.Air.Temp.C,Flag.RoC.Air.Temp.C,Flag.Flat.Air.Temp.C,Flag.Gross.Water.P.psi,Flag.Spike.Water.P.psi,Flag.RoC.Water.P.psi,Flag.Flat.Water.P.psi,Flag.Gross.Air.BP.psi,Flag.Spike.Air.BP.psi,Flag.RoC.Air.BP.psi,Flag.Flat.Air.BP.psi,Flag.Gross.Sensor.Depth.ft,Flag.Spike.Sensor.Depth.ft,Flag.RoC.Sensor.Depth.ft,Flag.Flat.Sensor.Depth.ft,Flag.Gross.DO.mg.L,Flag.Spike.DO.mg.L,Flag.RoC.DO.mg.L,Flag.Flat.DO.mg.L,Flag.Gross.DO.adj.mg.L,Flag.Spike.DO.adj.mg.L,Flag.RoC.DO.adj.mg.L,Flag.Flat.DO.adj.mg.L,Flag.Gross.DO.pctsat.percent,Flag.Spike.DO.pctsat.percent,Flag.RoC.DO.pctsat.percent,Flag.Flat.DO.pctsat.percent,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C,Comment.MOD.Air.Temp.C,RAW.Air.Temp.C,Comment.MOD.Air.BP.psi,RAW.Air.BP.psi,Comment.MOD.Water.P.psi,RAW.Water.P.psi,Comment.MOD.Sensor.Depth.ft,RAW.Sensor.Depth.ft,Comment.MOD.DO.mg.L,RAW.DO.mg.L,Comment.MOD.DO.adj.mg.L,RAW.DO.adj.mg.L,Comment.MOD.DO.pctsat.percent,RAW.DO.pctsat.percent,RAW.Flag.Date.Time,RAW.Flag.Water.Temp.C,RAW.Flag.Air.Temp.C,RAW.Flag.Air.BP.psi,RAW.Flag.Water.P.psi,RAW.Flag.Sensor.Depth.ft,RAW.Flag.DO.mg.L,RAW.Flag.DO.adj.mg.L,RAW.Flag.DO.pctsat.percent
TestDOPct,2014-07-28,11:00:00,2014-07-28 11:00:00,20.329,10229556,1,21.76,14.1187,13.9592,0.369,20.329,20.339,81.356,10229567,1,start,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,F,X,X,P,F,X,X,P,P,X,X,P,,2014-07-28 11:00:00,,20.329,,21.76,,13.9592,,14.1187,,0.369,,20.329,,20.339,,81.356,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,11:30:00,2014-07-28 11:30:00,20.424,10229556,2,20.71,14.1143,13.9557,0.367,20.424,20.434,81.736,10229567,2,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 11:30:00,,20.424,,20.71,,13.9557,,14.1143,,0.367,,20.424,,20.434,,81.736,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,12:00:00,2014-07-28 12:00:00,20.519,10229556,3,20.996,14.1171,13.9573,0.369,20.519,20.529,82.116,10229567,3,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 12:00:00,,20.519,,20.996,,13.9573,,14.1171,,0.369,,20.519,,20.529,,82.116,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,12:30:00,2014-07-28 12:30:00,20.71,10229556,4,21.569,14.1109,13.9534,0.364,20.71,20.72,82.88,10229567,4,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 12:30:00,,20.71,,21.569,,13.9534,,14.1109,,0.364,,20.71,,20.72,,82.88,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,13:00:00,2014-07-28 13:00:00,20.805,10229556,5,22.046,14.1113,13.9536,0.364,20.805,20.815,83.26,10229567,5,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 13:00:00,,20.805,,22.046,,13.9536,,14.1113,,0.364,,20.805,,20.815,,83.26,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,13:30:00,2014-07-28 13:30:00,20.996,10229556,6,22.333,14.1074,13.9528,0.357,20.996,21.006,84.024,10229567,6,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 13:30:00,,20.996,,22.333,,13.9528,,14.1074,,0.357,,20.996,,21.006,,84.024,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,14:00:00,2014-07-28 14:00:00,21.187,10229556,7,22.621,14.1058,13.9521,0.355,21.187,21.197,84.788,10229567,7,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 14:00:00,,21.187,,22.621,,13.9521,,14.1058,,0.355,,21.187,,21.197,,84.788,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,14:30:00,2014-07-28 14:30:00,21.187,10229556,8,22.525,14.1058,13.9515,0.357,21.187,21.197,84.788,10229567,8,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 14:30:00,,21.187,,22.525,,13.9515,,14.1058,,0.357,,21.187,,21.197,,84.788,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,15:00:00,2014-07-28 15:00:00,21.282,10229556,9,22.238,14.1039,13.9523,0.35,21.282,21.292,85.168,10229567,9,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 15:00:00,,21.282,,22.238,,13.9523,,14.1039,,0.35,,21.282,,21.292,,85.168,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,15:30:00,2014-07-28 15:30:00,21.187,10229556,10,22.142,14.1035,13.9494,0.356,21.187,21.197,84.788,10229567,10,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 15:30:00,,21.187,,22.142,,13.9494,,14.1035,,0.356,,21.187,,21.197,,84.788,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,16:00:00,2014-07-28 16:00:00,21.187,10229556,11,21.951,14.1011,13.9484,0.353,21.187,21.197,84.788,10229567,11,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 16:00:00,,21.187,,21.951,,13.9484,,14.1011,,0.353,,21.187,,21.197,,84.788,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,16:30:00,2014-07-28 16:30:00,21.187,10229556,12,21.951,14.0965,13.946,0.348,21.187,21.197,84.788,10229567,12,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 16:30:00,,21.187,,21.951,,13.946,,14.0965,,0.348,,21.187,,21.197,,84.788,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,17:00:00,2014-07-28 17:00:00,20.996,10229556,13,21.664,14.098,13.9445,0.355,20.996,21.006,84.024,10229567,13,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 17:00:00,,20.996,,21.664,,13.9445,,14.098,,0.355,,20.996,,21.006,,84.024,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,17:30:00,2014-07-28 17:30:00,20.805,10229556,14,21.473,14.0926,13.9433,0.345,20.805,20.815,83.26,10229567,14,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 17:30:00,,20.805,,21.473,,13.9433,,14.0926,,0.345,,20.805,,20.815,,83.26,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,18:00:00,2014-07-28 18:00:00,20.71,10229556,15,21.473,14.0945,13.9458,0.344,20.71,20.72,82.88,10229567,15,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 18:00:00,,20.71,,21.473,,13.9458,,14.0945,,0.344,,20.71,,20.72,,82.88,,P,P,P,P,P,F,F,P
