"Date.Time","Battery","Water.Temp.C","DO.mg.L","DO.pctsat.percent","Q","SiteID"
"2019-12-04 21:54:00","3.44","17.667","8.741",NA,"1.005","7392-354869"
"2019-12-04 22:24:00","3.44","17.878","8.706",NA,"1.006","7392-354869"
"2019-12-04 22:54:00","3.44","18.156","8.617",NA,"1.005","7392-354869"
"2019-12-04 23:24:00","3.44","18.442","8.575",NA,"1.006","7392-354869"
"2019-12-04 23:54:00","3.45","18.644","8.556",NA,"1.006","7392-354869"
"2019-12-05 00:24:00","3.45","18.854","8.539",NA,"1.007","7392-354869"
"2019-12-05 00:54:00","3.45","19.047","8.515",NA,"1.006","7392-354869"
"2019-12-05 01:24:00","3.45","19.223","8.468",NA,"1.006","7392-354869"
"2019-12-05 01:54:00","3.45","19.391","8.442",NA,"1.005","7392-354869"
"2019-12-05 02:24:00","3.45","19.499","8.46",NA,"1.007","7392-354869"
"2019-12-05 02:54:00","3.45","19.617","8.415",NA,"1.005","7392-354869"
"2019-12-05 03:24:00","3.45","19.726","8.415",NA,"1.006","7392-354869"
"2019-12-05 03:54:00","3.45","19.843","8.423",NA,"1.006","7392-354869"
"2019-12-05 04:24:00","3.45","19.968","8.412",NA,"1.006","7392-354869"
"2019-12-05 04:54:00","3.46","20.035","8.377",NA,"1.005","7392-354869"
"2019-12-05 05:24:00","3.46","20.144","8.392",NA,"1.007","7392-354869"
"2019-12-05 05:54:00","3.46","20.228","8.382",NA,"1.007","7392-354869"
"2019-12-05 06:24:00","3.46","20.278","8.392",NA,"1.008","7392-354869"
"2019-12-05 06:54:00","3.46","20.345","8.367",NA,"1.006","7392-354869"
"2019-12-05 07:24:00","3.46","20.428","8.341",NA,"1.005","7392-354869"
"2019-12-05 07:54:00","3.46","20.47","8.346",NA,"1.007","7392-354869"
"2019-12-05 08:24:00","3.46","20.495","8.337",NA,"1.007","7392-354869"
"2019-12-05 08:54:00","3.46","20.537","8.316",NA,"1.006","7392-354869"
"2019-12-05 09:24:00","3.46","20.604","8.308",NA,"1.007","7392-354869"
"2019-12-05 09:54:00","3.46","20.629","8.299",NA,"1.006","7392-354869"
"2019-12-05 10:24:00","3.46","20.671","8.298",NA,"1.006","7392-354869"
"2019-12-05 10:54:00","3.47","20.679","8.289",NA,"1.006","7392-354869"
