SiteID,Water RowID,Date.Time,Air BP psi,Air Temp C,Air logger ID
B0997,1,3/5/2015 0:00,14.1206,18.331,10246124
B0997,2,3/5/2015 0:30,14.118,16.903,10246124
B0997,3,3/5/2015 1:00,14.1125,16.713,10246124
B0997,4,3/5/2015 1:30,14.1083,16.903,10246124
B0997,5,3/5/2015 2:00,14.1132,16.903,10246124
B0997,6,3/5/2015 2:30,14.1035,16.903,10246124
B0997,7,3/5/2015 3:00,14.0987,16.903,10246124
B0997,8,3/5/2015 3:30,14.0909,16.713,10246124
B0997,9,3/5/2015 4:00,14.0884,16.713,10246124
B0997,10,3/5/2015 4:30,14.0864,16.808,10246124
B0997,11,3/5/2015 5:00,14.0891,16.903,10246124
B0997,12,3/5/2015 5:30,14.0939,16.903,10246124
B0997,13,3/5/2015 6:00,14.0939,16.903,10246124
B0997,14,3/5/2015 6:30,14.0911,16.808,10246124
B0997,15,3/5/2015 7:00,14.0919,16.999,10246124
B0997,16,3/5/2015 7:30,14.0945,17.094,10246124
B0997,17,3/5/2015 8:00,14.0972,17.189,10246124
B0997,18,3/5/2015 8:30,14.098,17.379,10246124
B0997,19,3/5/2015 9:00,14.0965,17.665,10246124
B0997,20,3/5/2015 9:30,14.099,17.665,10246124
B0997,21,3/5/2015 10:00,14.1007,17.475,10246124
B0997,22,3/5/2015 10:30,14.1055,17.475,10246124
B0997,23,3/5/2015 11:00,14.1167,11.041,10246124
B0997,24,3/5/2015 11:30,14.1407,7.582,10246124
B0997,25,3/5/2015 12:00,14.1493,6.573,10246124
B0997,26,3/5/2015 12:30,14.1503,6.166,10246124
B0997,27,3/5/2015 13:00,14.1555,6.268,10246124
B0997,28,3/5/2015 13:30,14.1476,6.775,10246124
B0997,29,3/5/2015 14:00,14.1473,8.082,10246124
B0997,30,3/5/2015 14:30,14.1377,9.472,10246124
B0997,31,3/5/2015 15:00,14.1428,9.571,10246124
B0997,32,3/5/2015 15:30,14.1599,8.978,10246124
B0997,33,3/5/2015 16:00,14.1661,8.68,10246124
B0997,34,3/5/2015 16:30,14.1898,7.179,10246124
B0997,35,3/5/2015 17:00,14.1918,5.655,10246124
B0997,36,3/5/2015 17:30,14.2064,4.311,10246124
B0997,37,3/5/2015 18:00,14.213,3.367,10246124
B0997,38,3/5/2015 18:30,14.2281,3.578,10246124
B0997,39,3/5/2015 19:00,14.2455,3.049,10246124
B0997,40,3/5/2015 19:30,14.2516,2.73,10246124
B0997,41,3/5/2015 20:00,14.2669,2.303,10246124
B0997,42,3/5/2015 20:30,14.2833,2.195,10246124
B0997,43,3/5/2015 21:00,14.2901,2.088,10246124
B0997,44,3/5/2015 21:30,14.2971,1.98,10246124
B0997,45,3/5/2015 22:00,14.3,1.439,10246124
B0997,46,3/5/2015 22:30,14.3086,1.112,10246124
B0997,47,3/5/2015 23:00,14.3142,0.674,10246124
B0997,48,3/5/2015 23:30,14.3148,0.121,10246124
B0997,49,3/6/2015 0:00,14.3181,-0.325,10246124
B0997,50,3/6/2015 0:30,14.3218,-0.662,10246124
B0997,51,3/6/2015 1:00,14.3265,-0.662,10246124
B0997,52,3/6/2015 1:30,14.3326,-1.001,10246124
B0997,53,3/6/2015 2:00,14.3319,-1.228,10246124
B0997,54,3/6/2015 2:30,14.3339,-1.341,10246124
B0997,55,3/6/2015 3:00,14.338,-1.57,10246124
B0997,56,3/6/2015 3:30,14.3371,-1.799,10246124
B0997,57,3/6/2015 4:00,14.3412,-2.03,10246124
B0997,58,3/6/2015 4:30,14.3457,-2.145,10246124
B0997,59,3/6/2015 5:00,14.3528,-2.145,10246124
B0997,60,3/6/2015 5:30,14.3589,-2.494,10246124
B0997,61,3/6/2015 6:00,14.3645,-2.962,10246124
B0997,62,3/6/2015 6:30,14.3645,-3.672,10246124
B0997,63,3/6/2015 7:00,14.4916,-3.672,10246124
B0997,64,3/6/2015 7:30,14.4349,-4.152,10246124
B0997,65,3/6/2015 8:00,14.4932,-3.197,10246124
B0997,66,3/6/2015 8:30,14.6097,-1.341,10246124
B0997,67,3/6/2015 9:00,14.6716,-0.102,10246124
B0997,68,3/6/2015 9:30,14.3934,0.674,10246124
B0997,69,3/6/2015 10:00,14.3915,1.548,10246124
B0997,70,3/6/2015 10:30,14.3928,4.727,10246124
B0997,71,3/6/2015 11:00,14.3893,4.415,10246124
B0997,72,3/6/2015 11:30,14.3885,6.268,10246124
B0997,73,3/6/2015 12:00,14.387,5.141,10246124
B0997,74,3/6/2015 12:30,14.3803,7.381,10246124
B0997,75,3/6/2015 13:00,14.3731,8.779,10246124
B0997,76,3/6/2015 13:30,14.3608,7.983,10246124
B0997,77,3/6/2015 14:00,14.3505,8.481,10246124
B0997,78,3/6/2015 14:30,14.3497,8.978,10246124
B0997,79,3/6/2015 15:00,14.3457,8.481,10246124
B0997,80,3/6/2015 15:30,14.3402,8.978,10246124
B0997,81,3/6/2015 16:00,14.3412,9.275,10246124
B0997,82,3/6/2015 16:30,14.3367,8.68,10246124
B0997,83,3/6/2015 17:00,14.3377,7.582,10246124
B0997,84,3/6/2015 17:30,14.3364,7.179,10246124
B0997,85,3/6/2015 18:00,14.3387,5.757,10246124
B0997,86,3/6/2015 18:30,14.3339,3.683,10246124
B0997,87,3/6/2015 19:00,14.3399,1.872,10246124
B0997,88,3/6/2015 19:30,14.3471,0.453,10246124
B0997,89,3/6/2015 20:00,14.3537,-0.437,10246124
B0997,90,3/6/2015 20:30,14.3563,-1.114,10246124
B0997,91,3/6/2015 21:00,14.3595,-1.57,10246124
B0997,92,3/6/2015 21:30,14.3608,-1.914,10246124
B0997,93,3/6/2015 22:00,14.3671,-2.145,10246124
B0997,94,3/6/2015 22:30,14.3644,-2.261,10246124
B0997,95,3/6/2015 23:00,14.3637,-2.494,10246124
B0997,96,3/6/2015 23:30,14.3653,-2.727,10246124
B0997,97,3/7/2015 0:00,14.3618,-3.079,10246124
B0997,98,3/7/2015 0:30,14.3589,-3.197,10246124
B0997,99,3/7/2015 1:00,14.3558,-3.434,10246124
B0997,100,3/7/2015 1:30,14.355,-3.672,10246124
B0997,101,3/7/2015 2:00,14.3518,-3.911,10246124
B0997,102,3/7/2015 2:30,14.3518,-3.911,10246124
B0997,103,3/7/2015 3:00,14.3442,-4.031,10246124
B0997,104,3/7/2015 3:30,14.341,-4.272,10246124
B0997,105,3/7/2015 4:00,14.3454,-4.393,10246124
B0997,106,3/7/2015 4:30,14.3483,-4.272,10246124
B0997,107,3/7/2015 5:00,14.3502,-4.393,10246124
B0997,108,3/7/2015 5:30,14.3574,-4.393,10246124
B0997,109,3/7/2015 6:00,14.3558,-4.152,10246124
B0997,110,3/7/2015 6:30,14.3579,-4.272,10246124
B0997,111,3/7/2015 7:00,14.365,-4.272,10246124
B0997,112,3/7/2015 7:30,14.3658,-4.031,10246124
B0997,113,3/7/2015 8:00,14.3661,-3.197,10246124
B0997,114,3/7/2015 8:30,14.368,-0.437,10246124
B0997,115,3/7/2015 9:00,14.3728,2.41,10246124
B0997,116,3/7/2015 9:30,14.3711,8.182,10246124
B0997,117,3/7/2015 10:00,14.3748,9.275,10246124
B0997,118,3/7/2015 10:30,14.3743,12.497,10246124
B0997,119,3/7/2015 11:00,14.3728,13.461,10246124
B0997,120,3/7/2015 11:30,14.3711,14.325,10246124
B0997,121,3/7/2015 12:00,14.3615,13.654,10246124
B0997,122,3/7/2015 12:30,14.3545,15.76,10246124
B0997,123,3/7/2015 13:00,14.3425,17.094,10246124
B0997,124,3/7/2015 13:30,14.3342,16.808,10246124
B0997,125,3/7/2015 14:00,14.3196,18.045,10246124
B0997,126,3/7/2015 14:30,14.3123,18.045,10246124
B0997,127,3/7/2015 15:00,14.3068,17.855,10246124
B0997,128,3/7/2015 15:30,14.3036,18.331,10246124
B0997,129,3/7/2015 16:00,14.2981,18.806,10246124
B0997,130,3/7/2015 16:30,14.2985,18.236,10246124
B0997,131,3/7/2015 17:00,14.2916,16.332,10246124
B0997,132,3/7/2015 17:30,14.2968,15.76,10246124
B0997,133,3/7/2015 18:00,14.2983,12.787,10246124
B0997,134,3/7/2015 18:30,14.3014,9.571,10246124
B0997,135,3/7/2015 19:00,14.303,7.28,10246124
B0997,136,3/7/2015 19:30,14.3078,5.86,10246124
B0997,137,3/7/2015 20:00,14.3067,4.831,10246124
B0997,138,3/7/2015 20:30,14.3107,3.893,10246124
B0997,139,3/7/2015 21:00,14.3078,3.049,10246124
B0997,140,3/7/2015 21:30,14.3081,2.41,10246124
B0997,141,3/7/2015 22:00,14.3083,1.764,10246124
B0997,142,3/7/2015 22:30,14.3045,1.33,10246124
B0997,143,3/7/2015 23:00,14.3078,0.893,10246124
B0997,144,3/7/2015 23:30,14.3019,0.563,10246124
B0997,145,3/8/2015 0:00,14.3032,0.232,10246124
B0997,146,3/8/2015 0:30,14.2997,-0.102,10246124
B0997,147,3/8/2015 1:00,14.301,-0.437,10246124
B0997,148,3/8/2015 1:30,14.3022,-0.774,10246124
B0997,149,3/8/2015 2:00,14.3014,-1.001,10246124
B0997,150,3/8/2015 2:30,14.2959,-1.228,10246124
B0997,151,3/8/2015 3:00,14.2932,-1.341,10246124
B0997,152,3/8/2015 3:30,14.2904,-1.456,10246124
B0997,153,3/8/2015 4:00,14.2948,-1.57,10246124
B0997,154,3/8/2015 4:30,14.2975,-1.456,10246124
B0997,155,3/8/2015 5:00,14.3004,-1.341,10246124
B0997,156,3/8/2015 5:30,14.3055,-1.228,10246124
B0997,157,3/8/2015 6:00,14.3075,-1.341,10246124
B0997,158,3/8/2015 6:30,14.3103,-1.228,10246124
B0997,159,3/8/2015 7:00,14.3119,-0.774,10246124
B0997,160,3/8/2015 7:30,14.312,1.439,10246124
B0997,161,3/8/2015 8:00,14.3119,6.37,10246124
B0997,162,3/8/2015 8:30,14.3141,11.139,10246124
B0997,163,3/8/2015 9:00,14.3164,13.173,10246124
B0997,164,3/8/2015 9:30,14.3178,16.237,10246124
B0997,165,3/8/2015 10:00,14.3151,16.808,10246124
B0997,166,3/8/2015 10:30,14.3113,19.758,10246124
B0997,167,3/8/2015 11:00,14.3048,20.615,10246124
B0997,168,3/8/2015 11:30,14.308,21.473,10246124
B0997,169,3/8/2015 12:00,14.301,20.901,10246124
B0997,170,3/8/2015 12:30,14.2891,22.908,10246124
B0997,171,3/8/2015 13:00,14.2788,23.388,10246124
B0997,172,3/8/2015 13:30,14.2653,23.004,10246124
B0997,173,3/8/2015 14:00,14.259,23.869,10246124
B0997,174,3/8/2015 14:30,14.2479,24.158,10246124
B0997,175,3/8/2015 15:00,14.24,23.966,10246124
B0997,176,3/8/2015 15:30,14.2446,24.545,10246124
B0997,177,3/8/2015 16:00,14.2418,24.448,10246124
B0997,178,3/8/2015 16:30,14.2415,23.1,10246124
B0997,179,3/8/2015 17:00,14.2376,20.71,10246124
B0997,180,3/8/2015 17:30,14.2397,19.948,10246124
B0997,181,3/8/2015 18:00,14.2389,19.092,10246124
B0997,182,3/8/2015 18:30,14.2472,18.045,10246124
B0997,183,3/8/2015 19:00,14.2511,15.091,10246124
B0997,184,3/8/2015 19:30,14.2531,13.654,10246124
B0997,185,3/8/2015 20:00,14.2533,12.98,10246124
B0997,186,3/8/2015 20:30,14.2526,12.787,10246124
B0997,187,3/8/2015 21:00,14.2505,12.883,10246124
B0997,188,3/8/2015 21:30,14.2584,13.076,10246124
B0997,189,3/8/2015 22:00,14.2559,13.75,10246124
B0997,190,3/8/2015 22:30,14.2576,14.23,10246124
B0997,191,3/8/2015 23:00,14.2569,14.038,10246124
B0997,192,3/8/2015 23:30,14.2539,12.497,10246124
B0997,193,3/9/2015 0:00,14.2556,11.625,10246124
B0997,194,3/9/2015 0:30,14.2616,11.236,10246124
B0997,195,3/9/2015 1:00,14.269,13.365,10246124
B0997,196,3/9/2015 1:30,14.2682,14.517,10246124
B0997,197,3/9/2015 2:00,14.2611,14.517,10246124
B0997,198,3/9/2015 2:30,14.2576,14.9,10246124
B0997,199,3/9/2015 3:00,14.2576,14.9,10246124
B0997,200,3/9/2015 3:30,14.2531,13.654,10246124
B0997,201,3/9/2015 4:00,14.2481,13.558,10246124
B0997,202,3/9/2015 4:30,14.2553,12.883,10246124
B0997,203,3/9/2015 5:00,14.2588,11.819,10246124
B0997,204,3/9/2015 5:30,14.2636,11.139,10246124
B0997,205,3/9/2015 6:00,14.2721,12.207,10246124
B0997,206,3/9/2015 6:30,14.28,12.401,10246124
B0997,207,3/9/2015 7:00,14.2859,11.334,10246124
B0997,208,3/9/2015 7:30,14.2962,9.472,10246124
B0997,209,3/9/2015 8:00,14.3028,9.275,10246124
B0997,210,3/9/2015 8:30,14.3058,9.472,10246124
B0997,211,3/9/2015 9:00,14.3038,9.571,10246124
B0997,212,3/9/2015 9:30,14.3045,9.768,10246124
B0997,213,3/9/2015 10:00,14.2993,10.357,10246124
B0997,214,3/9/2015 10:30,14.3007,11.431,10246124
B0997,215,3/9/2015 11:00,14.2985,12.883,10246124
B0997,216,3/9/2015 11:30,14.2999,14.613,10246124
B0997,217,3/9/2015 12:00,14.2996,15.855,10246124
B0997,218,3/9/2015 12:30,14.2981,16.141,10246124
B0997,219,3/9/2015 13:00,14.291,17.475,10246124
B0997,220,3/9/2015 13:30,14.2817,18.901,10246124
B0997,221,3/9/2015 14:00,14.2759,21.282,10246124
B0997,222,3/9/2015 14:30,14.2707,21.187,10246124
B0997,223,3/9/2015 15:00,14.2626,22.238,10246124
B0997,224,3/9/2015 15:30,14.2634,20.519,10246124
B0997,225,3/9/2015 16:00,14.2659,19.853,10246124
B0997,226,3/9/2015 16:30,14.2617,18.711,10246124
B0997,227,3/9/2015 17:00,14.263,18.426,10246124
B0997,228,3/9/2015 17:30,14.2652,17.665,10246124
B0997,229,3/9/2015 18:00,14.2685,16.618,10246124
B0997,230,3/9/2015 18:30,14.2687,15.282,10246124
B0997,231,3/9/2015 19:00,14.2762,14.038,10246124
B0997,232,3/9/2015 19:30,14.281,13.365,10246124
B0997,233,3/9/2015 20:00,14.281,12.69,10246124
B0997,234,3/9/2015 20:30,14.2839,12.11,10246124
B0997,235,3/9/2015 21:00,14.2852,11.819,10246124
B0997,236,3/9/2015 21:30,14.2869,11.625,10246124
B0997,237,3/9/2015 22:00,14.2842,11.528,10246124
B0997,238,3/9/2015 22:30,14.2787,11.334,10246124
B0997,239,3/9/2015 23:00,14.2859,11.334,10246124
B0997,240,3/9/2015 23:30,14.2835,11.334,10246124
B0997,241,3/10/2015 0:00,14.2811,11.334,10246124
B0997,242,3/10/2015 0:30,14.2787,11.334,10246124
B0997,243,3/10/2015 1:00,14.2732,11.139,10246124
B0997,244,3/10/2015 1:30,14.2752,11.041,10246124
B0997,245,3/10/2015 2:00,14.2749,10.944,10246124
B0997,246,3/10/2015 2:30,14.2774,10.944,10246124
B0997,247,3/10/2015 3:00,14.2721,10.846,10246124
B0997,248,3/10/2015 3:30,14.2694,10.748,10246124
B0997,249,3/10/2015 4:00,14.2671,10.748,10246124
B0997,250,3/10/2015 4:30,14.2623,10.748,10246124
B0997,251,3/10/2015 5:00,14.2671,10.748,10246124
B0997,252,3/10/2015 5:30,14.2646,10.748,10246124
B0997,253,3/10/2015 6:00,14.2691,10.651,10246124
B0997,254,3/10/2015 6:30,14.2684,10.455,10246124
B0997,255,3/10/2015 7:00,14.2704,10.357,10246124
B0997,256,3/10/2015 7:30,14.2736,10.553,10246124
B0997,257,3/10/2015 8:00,14.2769,10.846,10246124
B0997,258,3/10/2015 8:30,14.2817,11.528,10246124
B0997,259,3/10/2015 9:00,14.2827,12.497,10246124
B0997,260,3/10/2015 9:30,14.2822,12.98,10246124
B0997,261,3/10/2015 10:00,14.2848,13.75,10246124
B0997,262,3/10/2015 10:30,14.2807,15.951,10246124
B0997,263,3/10/2015 11:00,14.2758,17.284,10246124
B0997,264,3/10/2015 11:30,14.2713,16.713,10246124
B0997,265,3/10/2015 12:00,14.2642,19.377,10246124
B0997,266,3/10/2015 12:30,14.2521,21.378,10246124
B0997,267,3/10/2015 13:00,14.2478,22.142,10246124
B0997,268,3/10/2015 13:30,14.2468,22.525,10246124
B0997,269,3/10/2015 14:00,14.2382,23.484,10246124
B0997,270,3/10/2015 14:30,14.2339,24.255,10246124
B0997,271,3/10/2015 15:00,14.2314,23.581,10246124
B0997,272,3/10/2015 15:30,14.2288,22.238,10246124
B0997,273,3/10/2015 16:00,14.2236,22.142,10246124
B0997,274,3/10/2015 16:30,14.2233,21.378,10246124
B0997,275,3/10/2015 17:00,14.2283,18.806,10246124
B0997,276,3/10/2015 17:30,14.2283,16.808,10246124
B0997,277,3/10/2015 18:00,14.2231,16.713,10246124
B0997,278,3/10/2015 18:30,14.2243,16.332,10246124
B0997,279,3/10/2015 19:00,14.2256,16.046,10246124
B0997,280,3/10/2015 19:30,14.2233,15.378,10246124
B0997,281,3/10/2015 20:00,14.224,14.9,10246124
B0997,282,3/10/2015 20:30,14.2205,14.613,10246124
B0997,283,3/10/2015 21:00,14.2273,14.517,10246124
B0997,284,3/10/2015 21:30,14.2246,14.421,10246124
B0997,285,3/10/2015 22:00,14.2243,14.325,10246124
B0997,286,3/10/2015 22:30,14.2268,14.325,10246124
B0997,287,3/10/2015 23:00,14.2225,13.846,10246124
B0997,288,3/10/2015 23:30,14.2178,13.846,10246124
B0997,289,3/11/2015 0:00,14.2198,13.75,10246124
B0997,290,3/11/2015 0:30,14.2188,15.473,10246124
B0997,291,3/11/2015 1:00,14.2183,16.046,10246124
B0997,292,3/11/2015 1:30,14.2183,17.379,10246124
B0997,293,3/11/2015 2:00,14.2204,16.618,10246124
B0997,294,3/11/2015 2:30,14.2208,18.045,10246124
B0997,295,3/11/2015 3:00,14.2166,18.901,10246124
B0997,296,3/11/2015 3:30,14.2115,18.14,10246124
B0997,297,3/11/2015 4:00,14.2138,17.475,10246124
B0997,298,3/11/2015 4:30,14.2083,16.618,10246124
B0997,299,3/11/2015 5:00,14.2105,16.523,10246124
B0997,300,3/11/2015 5:30,14.2163,15.473,10246124
B0997,301,3/11/2015 6:00,14.2195,14.996,10246124
B0997,302,3/11/2015 6:30,14.2233,14.709,10246124
B0997,303,3/11/2015 7:00,14.2223,14.421,10246124
B0997,304,3/11/2015 7:30,14.2278,14.613,10246124
B0997,305,3/11/2015 8:00,14.2308,15.473,10246124
B0997,306,3/11/2015 8:30,14.2376,16.713,10246124
B0997,307,3/11/2015 9:00,14.24,18.045,10246124
B0997,308,3/11/2015 9:30,14.2384,19.567,10246124
B0997,309,3/11/2015 10:00,14.2366,21.091,10246124
B0997,310,3/11/2015 10:30,14.2373,21.951,10246124
B0997,311,3/11/2015 11:00,14.2381,22.812,10246124
B0997,312,3/11/2015 11:30,14.2389,23.677,10246124
B0997,313,3/11/2015 12:00,14.2376,23.966,10246124
B0997,314,3/11/2015 12:30,14.2347,25.805,10246124
B0997,315,3/11/2015 13:00,14.2297,24.448,10246124
B0997,316,3/11/2015 13:30,14.232,23.773,10246124
B0997,317,3/11/2015 14:00,14.2286,24.158,10246124
B0997,318,3/11/2015 14:30,14.2302,22.621,10246124
B0997,319,3/11/2015 15:00,14.2389,17.094,10246124
B0997,320,3/11/2015 15:30,14.2401,16.713,10246124
B0997,321,3/11/2015 16:00,14.2386,16.999,10246124
B0997,322,3/11/2015 16:30,14.2455,16.903,10246124
B0997,323,3/11/2015 17:00,14.2497,16.713,10246124
B0997,324,3/11/2015 17:30,14.2507,16.332,10246124
B0997,325,3/11/2015 18:00,14.2539,15.855,10246124
B0997,326,3/11/2015 18:30,14.2555,15.664,10246124
B0997,327,3/11/2015 19:00,14.2621,15.473,10246124
B0997,328,3/11/2015 19:30,14.2707,15.187,10246124
B0997,329,3/11/2015 20:00,14.2727,15.091,10246124
B0997,330,3/11/2015 20:30,14.2745,14.9,10246124
B0997,331,3/11/2015 21:00,14.2755,14.517,10246124
B0997,332,3/11/2015 21:30,14.2817,14.23,10246124
B0997,333,3/11/2015 22:00,14.2827,13.846,10246124
B0997,334,3/11/2015 22:30,14.2882,13.365,10246124
B0997,335,3/11/2015 23:00,14.291,12.787,10246124
B0997,336,3/11/2015 23:30,14.2958,12.11,10246124
B0997,337,3/12/2015 0:00,14.299,11.625,10246124
B0997,338,3/12/2015 0:30,14.3025,11.236,10246124
B0997,339,3/12/2015 1:00,14.303,10.748,10246124
B0997,340,3/12/2015 1:30,14.3041,10.357,10246124
B0997,341,3/12/2015 2:00,14.3062,10.259,10246124
B0997,342,3/12/2015 2:30,14.3096,10.553,10246124
B0997,343,3/12/2015 3:00,14.31,10.651,10246124
B0997,344,3/12/2015 3:30,14.313,10.846,10246124
B0997,345,3/12/2015 4:00,14.3151,10.748,10246124
B0997,346,3/12/2015 4:30,14.3203,10.161,10246124
B0997,347,3/12/2015 5:00,14.3258,9.669,10246124
B0997,348,3/12/2015 5:30,14.3278,9.571,10246124
B0997,349,3/12/2015 6:00,14.3367,10.063,10246124
B0997,350,3/12/2015 6:30,14.3422,10.259,10246124
B0997,351,3/12/2015 7:00,14.346,10.651,10246124
B0997,352,3/12/2015 7:30,14.3474,11.041,10246124
B0997,353,3/12/2015 8:00,14.3574,11.819,10246124
B0997,354,3/12/2015 8:30,14.3645,13.173,10246124
B0997,355,3/12/2015 9:00,14.3693,15.187,10246124
B0997,356,3/12/2015 9:30,14.3732,16.903,10246124
B0997,357,3/12/2015 10:00,14.3811,17.76,10246124
B0997,358,3/12/2015 10:30,14.3785,19.662,10246124
B0997,359,3/12/2015 11:00,14.3754,21.473,10246124
B0997,360,3/12/2015 11:30,14.3731,22.142,10246124
B0997,361,3/12/2015 12:00,14.3683,21.473,10246124
B0997,362,3/12/2015 12:30,14.3653,22.621,10246124
B0997,363,3/12/2015 13:00,14.3605,23.292,10246124
B0997,364,3/12/2015 13:30,14.3573,21.76,10246124
B0997,365,3/12/2015 14:00,14.3544,20.996,10246124
B0997,366,3/12/2015 14:30,14.3524,21.76,10246124
B0997,367,3/12/2015 15:00,14.3551,21.187,10246124
B0997,368,3/12/2015 15:30,14.3537,20.805,10246124
B0997,369,3/12/2015 16:00,14.3564,20.234,10246124
B0997,370,3/12/2015 16:30,14.3592,19.662,10246124
B0997,371,3/12/2015 17:00,14.3577,19.282,10246124
B0997,372,3/12/2015 17:30,14.3608,18.806,10246124
B0997,373,3/12/2015 18:00,14.368,18.14,10246124
B0997,374,3/12/2015 18:30,14.3705,17.475,10246124
B0997,375,3/12/2015 19:00,14.3756,16.903,10246124
B0997,376,3/12/2015 19:30,14.378,16.237,10246124
B0997,377,3/12/2015 20:00,14.3803,15.569,10246124
B0997,378,3/12/2015 20:30,14.3835,15.091,10246124
B0997,379,3/12/2015 21:00,14.3931,15.091,10246124
B0997,380,3/12/2015 21:30,14.3931,15.091,10246124
B0997,381,3/12/2015 22:00,14.3921,15.473,10246124
B0997,382,3/12/2015 22:30,14.3956,15.091,10246124
B0997,383,3/12/2015 23:00,14.4007,14.517,10246124
B0997,384,3/12/2015 23:30,14.3993,14.134,10246124
B0997,385,3/13/2015 0:00,14.3979,13.75,10246124
B0997,386,3/13/2015 0:30,14.3946,13.461,10246124
B0997,387,3/13/2015 1:00,14.3931,13.076,10246124
B0997,388,3/13/2015 1:30,14.3993,12.787,10246124
B0997,389,3/13/2015 2:00,14.3931,12.401,10246124
B0997,390,3/13/2015 2:30,14.3924,12.207,10246124
B0997,391,3/13/2015 3:00,14.389,11.916,10246124
B0997,392,3/13/2015 3:30,14.3835,11.722,10246124
B0997,393,3/13/2015 4:00,14.3831,11.625,10246124
B0997,394,3/13/2015 4:30,14.3869,11.334,10246124
B0997,395,3/13/2015 5:00,14.3962,10.553,10246124
B0997,396,3/13/2015 5:30,14.3959,9.768,10246124
B0997,397,3/13/2015 6:00,14.3972,8.779,10246124
B0997,398,3/13/2015 6:30,14.3985,8.481,10246124
B0997,399,3/13/2015 7:00,14.3957,8.382,10246124
B0997,400,3/13/2015 7:30,14.4034,8.481,10246124
B0997,401,3/13/2015 8:00,14.4062,8.581,10246124
B0997,402,3/13/2015 8:30,14.4078,8.382,10246124
B0997,403,3/13/2015 9:00,14.413,8.481,10246124
B0997,404,3/13/2015 9:30,14.4112,8.68,10246124
B0997,405,3/13/2015 10:00,14.4109,8.581,10246124
B0997,406,3/13/2015 10:30,14.4112,9.373,10246124
B0997,407,3/13/2015 11:00,14.4075,10.357,10246124
B0997,408,3/13/2015 11:30,14.4034,9.866,10246124
B0997,409,3/13/2015 12:00,14.3972,9.472,10246124
B0997,410,3/13/2015 12:30,14.3934,10.455,10246124
B0997,411,3/13/2015 13:00,14.3793,9.866,10246124
B0997,412,3/13/2015 13:30,14.3728,9.373,10246124
B0997,413,3/13/2015 14:00,14.366,8.779,10246124
B0997,414,3/13/2015 14:30,14.3656,7.983,10246124
B0997,415,3/13/2015 15:00,14.3641,6.166,10246124
B0997,416,3/13/2015 15:30,14.3558,5.86,10246124
B0997,417,3/13/2015 16:00,14.349,5.962,10246124
B0997,418,3/13/2015 16:30,14.3425,6.166,10246124
B0997,419,3/13/2015 17:00,14.3432,6.37,10246124
B0997,420,3/13/2015 17:30,14.3425,6.166,10246124
B0997,421,3/13/2015 18:00,14.349,5.962,10246124
B0997,422,3/13/2015 18:30,14.3493,6.064,10246124
B0997,423,3/13/2015 19:00,14.3448,6.166,10246124
B0997,424,3/13/2015 19:30,14.3428,6.268,10246124
B0997,425,3/13/2015 20:00,14.3435,6.471,10246124
B0997,426,3/13/2015 20:30,14.339,6.573,10246124
B0997,427,3/13/2015 21:00,14.337,6.674,10246124
B0997,428,3/13/2015 21:30,14.3347,6.674,10246124
B0997,429,3/13/2015 22:00,14.3281,6.877,10246124
B0997,430,3/13/2015 22:30,14.3233,6.877,10246124
B0997,431,3/13/2015 23:00,14.3178,6.674,10246124
B0997,432,3/13/2015 23:30,14.3154,6.674,10246124
B0997,433,3/14/2015 0:00,14.2993,6.877,10246124
B0997,434,3/14/2015 0:30,14.2975,7.079,10246124
B0997,435,3/14/2015 1:00,14.293,7.179,10246124
B0997,436,3/14/2015 1:30,14.2935,7.28,10246124
B0997,437,3/14/2015 2:00,14.2862,7.28,10246124
B0997,438,3/14/2015 2:30,14.2787,7.179,10246124
B0997,439,3/14/2015 3:00,14.2671,7.28,10246124
B0997,440,3/14/2015 3:30,14.2626,7.381,10246124
B0997,441,3/14/2015 4:00,14.2553,7.381,10246124
B0997,442,3/14/2015 4:30,14.2533,7.481,10246124
B0997,443,3/14/2015 5:00,14.2513,7.582,10246124
B0997,444,3/14/2015 5:30,14.2516,7.682,10246124
B0997,445,3/14/2015 6:00,14.2471,7.782,10246124
B0997,446,3/14/2015 6:30,14.2447,7.782,10246124
B0997,447,3/14/2015 7:00,14.24,7.782,10246124
B0997,448,3/14/2015 7:30,14.2375,7.782,10246124
B0997,449,3/14/2015 8:00,14.2379,7.882,10246124
B0997,450,3/14/2015 8:30,14.2365,8.182,10246124
B0997,451,3/14/2015 9:00,14.231,8.68,10246124
B0997,452,3/14/2015 9:30,14.2299,9.077,10246124
B0997,453,3/14/2015 10:00,14.2302,9.866,10246124
B0997,454,3/14/2015 10:30,14.2196,10.259,10246124
B0997,455,3/14/2015 11:00,14.2127,11.041,10246124
B0997,456,3/14/2015 11:30,14.2076,12.304,10246124
B0997,457,3/14/2015 12:00,14.1906,14.996,10246124
B0997,458,3/14/2015 12:30,14.1857,14.996,10246124
B0997,459,3/14/2015 13:00,14.1741,15.76,10246124
B0997,460,3/14/2015 13:30,14.1664,16.332,10246124
B0997,461,3/14/2015 14:00,14.1599,18.521,10246124
