SiteID,Water RowID,Date.Time,Water P psi,Water Temp C,Sensor Depth ft
B0997,1,3/5/2015 0:00,14.5947,11.916,1.02
B0997,2,3/5/2015 0:30,14.5972,11.916,1.032
B0997,3,3/5/2015 1:00,14.5928,12.013,1.034
B0997,4,3/5/2015 1:30,14.5928,12.013,1.044
B0997,5,3/5/2015 2:00,14.5908,12.11,1.028
B0997,6,3/5/2015 2:30,14.5908,12.11,1.05
B0997,7,3/5/2015 3:00,14.5856,12.013,1.049
B0997,8,3/5/2015 3:30,14.5808,12.013,1.056
B0997,9,3/5/2015 4:00,14.5808,12.013,1.062
B0997,10,3/5/2015 4:30,14.5717,12.11,1.046
B0997,11,3/5/2015 5:00,14.5812,12.11,1.061
B0997,12,3/5/2015 5:30,14.5833,12.013,1.055
B0997,13,3/5/2015 6:00,14.586,12.11,1.061
B0997,14,3/5/2015 6:30,14.5936,12.207,1.085
B0997,15,3/5/2015 7:00,14.5965,12.304,1.09
B0997,16,3/5/2015 7:30,14.6136,12.401,1.124
B0997,17,3/5/2015 8:00,14.6279,12.401,1.15
B0997,18,3/5/2015 8:30,14.6394,12.304,1.175
B0997,19,3/5/2015 9:00,14.6394,12.304,1.179
B0997,20,3/5/2015 9:30,14.6446,12.401,1.185
B0997,21,3/5/2015 10:00,14.6498,12.497,1.193
B0997,22,3/5/2015 10:30,14.6498,12.497,1.182
B0997,23,3/5/2015 11:00,14.6804,12.401,1.227
B0997,24,3/5/2015 11:30,14.7054,12.11,1.229
B0997,25,3/5/2015 12:00,14.7208,11.819,1.244
B0997,26,3/5/2015 12:30,14.7319,11.625,1.268
B0997,27,3/5/2015 13:00,14.7377,11.334,1.269
B0997,28,3/5/2015 13:30,14.7322,11.139,1.275
B0997,29,3/5/2015 14:00,14.7293,11.041,1.269
B0997,30,3/5/2015 14:30,14.7266,10.944,1.285
B0997,31,3/5/2015 15:00,14.7286,10.846,1.278
B0997,32,3/5/2015 15:30,14.7471,10.748,1.281
B0997,33,3/5/2015 16:00,14.7492,10.651,1.271
B0997,34,3/5/2015 16:30,14.7675,10.455,1.259
B0997,35,3/5/2015 17:00,14.7666,10.259,1.252
B0997,36,3/5/2015 17:30,14.7776,10.063,1.244
B0997,37,3/5/2015 18:00,14.7863,9.866,1.249
B0997,38,3/5/2015 18:30,14.7875,9.571,1.217
B0997,39,3/5/2015 19:00,14.8057,9.373,1.219
B0997,40,3/5/2015 19:30,14.8073,9.176,1.208
B0997,41,3/5/2015 20:00,14.8227,8.879,1.208
B0997,42,3/5/2015 20:30,14.8339,8.68,1.196
B0997,43,3/5/2015 21:00,14.8334,8.581,1.18
B0997,44,3/5/2015 21:30,14.8449,8.481,1.19
B0997,45,3/5/2015 22:00,14.8465,8.282,1.187
B0997,46,3/5/2015 22:30,14.8556,8.182,1.188
B0997,47,3/5/2015 23:00,14.8571,7.983,1.179
B0997,48,3/5/2015 23:30,14.8539,7.782,1.17
B0997,49,3/6/2015 0:00,14.8558,7.682,1.167
B0997,50,3/6/2015 0:30,14.8622,7.481,1.173
B0997,51,3/6/2015 1:00,14.8617,7.381,1.161
B0997,52,3/6/2015 1:30,14.8633,7.179,1.15
B0997,53,3/6/2015 2:00,14.8677,7.079,1.162
B0997,54,3/6/2015 2:30,14.8672,6.978,1.156
B0997,55,3/6/2015 3:00,14.8739,6.877,1.163
B0997,56,3/6/2015 3:30,14.8712,6.775,1.158
B0997,57,3/6/2015 4:00,14.8707,6.674,1.148
B0997,58,3/6/2015 4:30,14.8751,6.573,1.147
B0997,59,3/6/2015 5:00,14.8817,6.471,1.146
B0997,60,3/6/2015 5:30,14.8861,6.37,1.142
B0997,61,3/6/2015 6:00,14.8904,6.268,1.139
B0997,62,3/6/2015 6:30,14.8925,6.166,1.144
B0997,63,3/6/2015 7:00,14.8991,6.064,0.866
B0997,64,3/6/2015 7:30,14.9016,6.064,1.003
B0997,65,3/6/2015 8:00,14.9035,5.962,0.873
B0997,66,3/6/2015 8:30,14.906,5.962,0.61
B0997,67,3/6/2015 9:00,14.9155,5.962,0.489
B0997,68,3/6/2015 9:30,14.9135,6.064,1.126
B0997,69,3/6/2015 10:00,14.9119,6.268,1.127
B0997,70,3/6/2015 10:30,14.9084,6.573,1.116
B0997,71,3/6/2015 11:00,14.9077,6.978,1.122
B0997,72,3/6/2015 11:30,14.9094,7.381,1.128
B0997,73,3/6/2015 12:00,14.9064,7.782,1.124
B0997,74,3/6/2015 12:30,14.8938,8.182,1.111
B0997,75,3/6/2015 13:00,14.8926,8.481,1.125
B0997,76,3/6/2015 13:30,14.8844,8.779,1.134
B0997,77,3/6/2015 14:00,14.8709,8.978,1.127
B0997,78,3/6/2015 14:30,14.8617,9.077,1.107
B0997,79,3/6/2015 15:00,14.8594,9.077,1.111
B0997,80,3/6/2015 15:30,14.8569,9.077,1.118
B0997,81,3/6/2015 16:00,14.8542,8.978,1.11
